fiscalDateEnding,totalRevenue,netIncome,ticker
31/12/2023,12679000000,2179000000,AZN
30/09/2023,11492000000,1374000000,AZN
30/06/2023,11416000000,1818000000,AZN
31/03/2023,10879000000,1803000000,AZN
31/12/2022,11207000000,901000000,AZN
30/09/2022,10982000000,1640000000,AZN
30/06/2022,10771000000,360000000,AZN
31/03/2022,11390000000,386000000,AZN
31/12/2021,12011000000,-347000000,AZN
30/09/2021,9866000000,-1652000000,AZN
30/06/2021,8220000000,550000000,AZN
31/03/2021,7320000000,1561000000,AZN
31/12/2020,7410000000,1012000000,AZN
30/09/2020,6578000000,648000000,AZN
30/06/2020,6275000000,756000000,AZN
31/03/2020,6354000000,780000000,AZN
31/12/2019,6664000000,313000000,AZN
30/09/2019,6406000000,299000000,AZN
30/06/2024,8796000000,726000000,CMI
31/03/2024,8403000000,1993000000,CMI
31/12/2023,8543000000,-1431000000,CMI
30/09/2023,8431000000,656000000,CMI
30/06/2023,8638000000,720000000,CMI
31/03/2023,8453000000,790000000,CMI
31/12/2022,7770000000,631000000,CMI
30/09/2022,7333000000,400000000,CMI
30/06/2022,6586000000,702000000,CMI
31/03/2022,6385000000,418000000,CMI
31/12/2021,5850000000,394000000,CMI
30/09/2021,5968000000,534000000,CMI
30/06/2021,6111000000,600000000,CMI
31/03/2021,6092000000,603000000,CMI
31/12/2020,5830000000,1361000000,CMI
30/09/2020,5118000000,501000000,CMI
30/06/2020,3852000000,276000000,CMI
31/03/2020,5011000000,511000000,CMI
31/12/2019,5578000000,1313000000,CMI
30/09/2019,5768000000,622000000,CMI
31/12/2023,1702498005,316654252,HMY
30/09/2023,829592267,156332523,HMY
30/06/2023,26016000000,2981000000,HMY
31/12/2022,1324915659,106166444,HMY
30/09/2022,1319663244,-158242804,HMY
30/06/2022,20694000000,-2439000000,HMY
31/12/2021,21951000000,1387000000,HMY
30/09/2021,-18693556770,-834751630,HMY
30/06/2021,20145000000,-232000000,HMY
31/12/2020,10794000000,2892500000,HMY
30/09/2020,10543443230,-834751630,HMY
30/06/2020,29245000000,-850000000,HMY
31/12/2019,15477000000,1332000000,HMY
30/09/2019,8210443230,-834751630,HMY
30/06/2024,5488000000,433000000,CNH
31/03/2024,4818000000,401000000,CNH
31/12/2023,6792000000,616000000,CNH
30/09/2023,5986000000,567000000,CNH
30/06/2023,6567000000,706000000,CNH
31/03/2023,5342000000,482000000,CNH
31/12/2022,6943000000,592000000,CNH
30/09/2022,5881000000,556000000,CNH
30/06/2022,6082000000,548000000,CNH
31/03/2022,4645000000,333000000,CNH
31/12/2021,19412000000,302000000,CNH
30/09/2021,4746000000,323000000,CNH
30/06/2021,5174000000,690000000,CNH
31/03/2021,4096000000,408000000,CNH
31/12/2020,8649000000,164000000,CNH
30/09/2020,6492000000,-942000000,CNH
30/06/2020,5578000000,350000000,CNH
31/03/2020,5461000000,-65000000,CNH
31/12/2019,7695000000,114000000,CNH
30/09/2019,6360000000,637000000,CNH
30/06/2024,6961000000,3254000000,MA
31/03/2024,6348000000,3008000000,MA
31/12/2023,6548000000,2788000000,MA
30/09/2023,6533000000,3194000000,MA
30/06/2023,6269000000,2842000000,MA
31/03/2023,5748000000,2359000000,MA
31/12/2022,5817000000,2521000000,MA
30/09/2022,5756000000,2496000000,MA
30/06/2022,5497000000,2272000000,MA
31/03/2022,5167000000,2628000000,MA
31/12/2021,5216000000,2380000000,MA
30/09/2021,4985000000,2403000000,MA
30/06/2021,4528000000,2066000000,MA
31/03/2021,4155000000,1829000000,MA
31/12/2020,4120000000,1822000000,MA
30/09/2020,3837000000,1545000000,MA
30/06/2020,3335000000,1423000000,MA
31/03/2020,4009000000,1694000000,MA
31/12/2019,4414000000,2100000000,MA
30/09/2019,4467000000,2107000000,MA
30/06/2024,4574000000,85000000,GT
31/03/2024,4410000000,-57000000,GT
31/12/2023,4948000000,-291000000,GT
30/09/2023,5007000000,-89000000,GT
30/06/2023,4700000000,-208000000,GT
31/03/2023,4802000000,-101000000,GT
31/12/2022,5262000000,-104000000,GT
30/09/2022,5186000000,44000000,GT
30/06/2022,5103000000,166000000,GT
31/03/2022,4802000000,96000000,GT
31/12/2021,4938000000,553000000,GT
30/09/2021,4832000000,132000000,GT
30/06/2021,3882000000,67000000,GT
31/03/2021,3421000000,12000000,GT
31/12/2020,3563000000,63000000,GT
30/09/2020,3378000000,-2000000,GT
30/06/2020,2044000000,-696000000,GT
31/03/2020,2970000000,-619000000,GT
31/12/2019,3645000000,-392000000,GT
30/09/2019,3714000000,88000000,GT
28/07/2024,30040000000,16599000000,NVDA
28/04/2024,26044000000,14881000000,NVDA
28/01/2024,22103000000,12285000000,NVDA
29/10/2023,18120000000,9243000000,NVDA
30/07/2023,13507000000,6188000000,NVDA
30/04/2023,7192000000,2043000000,NVDA
29/01/2023,6051000000,1414000000,NVDA
30/10/2022,5931000000,680000000,NVDA
31/07/2022,6704000000,656000000,NVDA
01/05/2022,8288000000,1618000000,NVDA
30/01/2022,7643000000,3003000000,NVDA
31/10/2021,7103000000,2464000000,NVDA
01/08/2021,6507000000,2374000000,NVDA
02/05/2021,5661000000,1912000000,NVDA
31/01/2021,5003000000,1457000000,NVDA
25/10/2020,4726000000,1336000000,NVDA
26/07/2020,3866000000,622000000,NVDA
26/04/2020,3080000000,917000000,NVDA
26/01/2020,3105000000,950000000,NVDA
27/10/2019,3014000000,899000000,NVDA
